Reference Number,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
7441946,1,43925,2330,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
7451499,1,43926,1810,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
74B2571,2,43932,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
74C1054,1,43933,1146,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
74D0204,1,43934,540,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight
74O1160,2,43945,1501,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
74R1681,1,43948,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
7510663,2,43952,1215,Unclassified,Wet  / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
7551165,1,43956,1628,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
7560523,2,43958,1510,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
7571072,2,43958,1440,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7590684,2,43960,1030,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Fatal
75B1080,2,43962,1646,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
75B1470,2,43962,1958,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
75C0454,1,43963,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
75H2003,1,43968,2300,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious
75I1803,1,43969,2240,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
75K0729,1,43971,1229,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
75K1083,1,43971,1511,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
75L2003,2,43972,2009,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
75Q1232,2,43976,1930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
