Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity
4240820,2,04/02/2017,1310,A644,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
4241388,1,04/02/2017,1730,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
4250713,2,05/02/2017,1227,A62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4270334,1,07/02/2017,921,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4270824,2,07/02/2017,1423,B6114,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4271002,2,07/02/2017,1546,A6319,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4271424,1,06/02/2017,1900,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
4280278,1,08/02/2017,833,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4280857,1,08/02/2017,1430,A629,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious
4281236,1,08/02/2017,1730,U,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Pedestrian,Slight
4281343,2,08/02/2017,1830,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
42B0281,4,11/02/2017,605,B6112,Snow,Darkness: street lights present and lit,Snowing without high winds,Car,Driver or rider,Slight
42C0786,3,12/02/2017,1338,M62,Wet/Damp,Daylight:street lights present,Snowing with high winds,Car,Driver or rider,Slight
42C0952,3,12/02/2017,1450,A644,Wet/Damp,Daylight:street lights present,Snowing without high winds,Car,Driver or rider,Slight
42D1839,2,13/02/2017,2243,A58,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
42F0694,2,15/02/2017,1225,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
42F0909,2,15/02/2017,1430,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
42F1407,1,15/02/2017,1854,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
42I0988,2,18/02/2017,1440,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
42I1712,1,18/02/2017,2330,U,Wet/Damp,Darkness: no street lighting,Fine without high winds,Taxi/Private hire car,Pedestrian,Serious
42J0011,1,19/02/2017,5,A646,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
42K0743,3,20/02/2017,1212,A644,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Driver or rider,Slight
42L0256,2,21/02/2017,700,B6114,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight
42M1521,1,22/02/2017,1939,A681,Wet/Damp,Darkness: no street lighting,Raining without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious
42O1331,1,24/02/2017,1200,U,Dry,Daylight:street lights present,Fine with high winds,Car,Pedestrian,Slight
42O1888,1,24/02/2017,2227,B6113,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
42S0294,4,28/02/2017,847,M62,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
4341635,2,04/03/2017,1500,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4370295,2,07/03/2017,823,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
43A0392,2,10/08/2017,940,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
43G0238,3,16/03/2017,743,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
43G1614,2,16/03/2017,1415,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
43H1118,1,17/03/2017,1503,U,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Pedestrian,Slight
